# Format: cuisine|name
北京菜|北京烤鸭
粤菜|广东白切鸡
杭帮菜|东坡肉
上海点心|南翔小笼
闽菜|佛跳墙

泰国菜|冬阴功虾汤
泰国菜|泰式鲜虾炒河粉
泰国菜|青木瓜沙拉
泰国菜|泰式绿咖喱鸡
泰国菜|芒果糯米饭

越南菜|生牛肉河粉
越南菜|越南鲜虾春卷
越南菜|河内烤肉米线
越南菜|越式法棍夹肉
越南菜|越式砂锅焦糖鱼

日本料理|江户前握寿司
日本料理|三文鱼刺身
日本料理|炸虾天妇罗
日本料理|博多豚骨拉面
日本料理|鳗鱼蒲烧饭

西班牙菜|瓦伦西亚海鲜饭
西班牙菜|西班牙土豆蛋饼
西班牙菜|蒜香橄榄油虾
西班牙菜|萨尔莫雷霍冷汤
西班牙菜|伊比利亚火腿

意大利菜|那不勒斯玛格丽塔披萨
意大利菜|博洛尼亚肉酱面
意大利菜|博洛尼亚千层面
意大利菜|米兰烩饭
意大利菜|提拉米苏

法国菜|勃艮第红酒炖牛肉
法国菜|法式洋葱汤
法国菜|油封鸭
法国菜|尼斯沙拉
法国菜|勃艮第焗蜗牛

川菜|宫保鸡丁
川菜|鱼香肉丝
川菜|回锅肉
川菜|麻婆豆腐
川菜|歌乐山辣子鸡
川菜|水煮鱼
川菜|夫妻肺片
川菜|毛血旺
川菜|担担面
川菜|樟茶鸭

中国菜|葱烧海参
中国菜|松鼠桂鱼
中国菜|叫花鸡
中国菜|清蒸武昌鱼
中国菜|腊味煲仔饭
中国菜|蜜汁叉烧
中国菜|豉汁蒸排骨
中国菜|沙姜鸡
中国菜|梅菜扣肉
中国菜|潮汕牛肉丸汤
川菜|蒜泥白肉
川菜|口水鸡
川菜|酸菜鱼
川菜|干煸四季豆
川菜|豆花牛肉
湘菜|剁椒鱼头
湘菜|小炒黄牛肉
湘菜|农家小炒肉
湘菜|腊味合蒸
湘菜|永州血鸭
粤菜|烧鹅
粤菜|豉油皇炒面
粤菜|艇仔粥
粤菜|避风塘炒蟹
粤菜|云吞面
鲁菜|九转大肠
鲁菜|糖醋鲤鱼
鲁菜|葱烧蹄筋
苏菜|蟹粉狮子头
苏菜|松鼠鳜鱼
浙菜|西湖醋鱼
浙菜|龙井虾仁
徽菜|臭鳜鱼
闽菜|荔枝肉
泰国菜|泰式黄咖喱蟹
泰国菜|泰式罗勒炒鸡
泰国菜|椰汁鸡汤
越南菜|越式香茅烤鸡
越南菜|越式鸡丝粉
日本菜|亲子丼
日本菜|味噌煮青花鱼
日本菜|照烧鸡排饭
日本菜|日式咖喱猪排饭
韩国菜|韩式石锅拌饭
韩国菜|部队锅
韩国菜|韩式炖牛排骨
印度菜|黄油鸡
印度菜|坦都里烤鸡
墨西哥菜|鸡肉法士达
